model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5,codebook,07d5c5cacdec4a6509981f9f4ba0454a8b32f48e8e3bc78854ba472c887e42c7,dovish,guidance,364,85,The Committee decided to lower the target range for the federal funds rate by 25 basis points.
gpt-5,codebook,083bc1dff2204b68cc78ddf8239b07c2edbc21de3af59b58a79217730c92363c,neutral,employment,369,146,"Labour market conditions have weakened in sectors affected by trade, but employment has held up in other parts of the economy."
gpt-5,codebook,086e20c28d9aedd30d27b6bc08189572fbb8cece18b0b0072c226d6733d544e4,neutral,financial_stability,,,"Higher repo rates, along with a lower level of reserves, continued to contribute to upward pressure on the spread between the effective federal funds rate (EFFR) and the interest rate on reserve balances."
gpt-5,codebook,0b2a02bb016cd07e9ff01351f6296312d4934192a214e2ad3f107f4f469a50d0,neutral,guidance,,,"July 29, 2026 The Federal Open Market Committee approved the following statement for release by a 9 â 3 vote: The Committee decided to maintain the target range for the federal funds rate at 3-1/2 to 3-3/4 percent, in support of the Federal Reserve's dual mandate."
gpt-5,codebook,0b38997cc38cc4c1d18629f526badf04ec22957be33a9fcc0cfdf48c678aea12,neutral,guidance,376,659,"With still high uncertainty, the Canadian economy showing some resilience, and ongoing pressures on underlying inflation, Governing Council decided to hold the policy interest rate unchanged."
gpt-5,codebook,0b74788cdf4732a1e1c31e1e8c03d87a20dec8bb9a88584489c3089adabe13ce,dovish,guidance,,,These participants noted that reducing the policy rate at this meeting would be consistent with the projected decline in inflation over coming quarters while contributing to a strengthening of economic activity in 2026 that would help stabilize labor market conditions after this year's cooling.
gpt-5,codebook,0c54c42175d53d8363242b0ee139de4e0a3eca5d0179e9c0a37e57d6efb9b7f9,neutral,employment,,,Employment gains in September followed two months of sizeable losses.
gpt-5,codebook,0c713da20814f11e03daf20bae10b6400a591e8d2cdc7c673e17154f94586566,dovish,guidance,361,213,The Committee anticipates reducing the policy rate as inflation moves sustainably to two percent.
gpt-5,codebook,0c7650ec03ace040577aaba6e85fd41e862b74e47ea91a13069a542116d81788,neutral,employment,,,They observed that job gains had slowed this year and that the unemployment rate had edged up but remained low through August.
gpt-5,codebook,0d6fe24627d9b0a7e0d75adef6cd25c4abc748ac22eb8ccc0b8fa3342b00ec45,neutral,guidance,,,The Committee reaffirmed its policy of maintaining ample reserves in the banking system.
gpt-5,codebook,0e7464a3d4c8cff5fcb17af95f8b2ecdcfafbfb6f0649a2f3b146423a1848070,hawkish,guidance,364,84,The Committee decided to raise the target range for the federal funds rate by 25 basis points.
gpt-5,codebook,0eba02259ae0fed66cc9d30a770ec1f4c60d893895f7b19a37b613f4b620f447,neutral,growth,,,"The breadth and duration of the conflict, and hence its economic impacts, are highly uncertain."
gpt-5,codebook,0ec5873bb38d77464798c211c59fe4f51bc1d82349d1a454d94d2044b6f93734,neutral,guidance,361,86,The Bank maintained its target for the overnight rate at two and a quarter percent.
gpt-5,codebook,0f5919e368c0ca5f177dd3cc880e04aa5ba2a8f06ae3221e8217c49cd944c8f4,neutral,growth,384,146,The current tariff scenario has global growth slowing modestly to around 2½% by the end of 2025 before returning to around 3% over 2026 and 2027.
gpt-5,codebook,11c7d40fe49847cc37ce06cf0408d2fd95d8af5d6b2cb4b6633ea827512a5e80,neutral,guidance,,,The manager noted that the correlation between this spread and the level of reserve balances had risen notably over the past couple of months and that the EFFR had moved up faster than it had during the previous episode of balance sheet runoff.
gpt-5,codebook,11ddc3adb6a2584f22f56b38cb1964e405d1bd427d4cf88d3239a1c5cfe05351,neutral,financial_stability,,,"Shorter-term Treasury yields were little changed, while longer-term yields rose a few basis points on net; the Treasury curve steepened slightly as a result."
gpt-5,codebook,12f8c281d009238335a30368889520bf260f7bfef5458daac276c2836655ca43,neutral,financial_stability,,,"Credit continued to be generally available to most businesses, households, and municipalities."
gpt-5,codebook,1391b04ae4e8c9f1af6a24e87d275bd07fb97933063195c64e20f12f243f97dd,hawkish,inflation,,,"Some measures of near-term inflation expectations increased, as energy and other commodity prices surged with the Middle East conflict."
gpt-5,codebook,13d930e52e1fa45e41db8216e0d8772a1b25b52546505e8dae3770826f42cd68,neutral,growth,,,"In the projection, consumer spending holds up and business investment strengthens gradually, with fiscal policy providing some support."
gpt-5,codebook,155393aa96d27978aeacdc7e0e2abaec41c9990816d9882eaca7453cc55cc28c,neutral,financial_stability,358,212,"Global equity markets have risen, and corporate credit spreads have narrowed."
gpt-5,codebook,157ee63104fadf1ef83155c7634396ac51b9bef6adb7c48b874c228743e89955,neutral,guidance,,,Some participants who favored or could have supported keeping the target range unchanged suggested that the arrival of a considerable amount of labor market and inflation data over the coming intermeeting period would be helpful in making judgments on whether a rate reduction was warranted.
gpt-5,codebook,16419128f110d45c1dbde729958f8fa4fe9a36de887df527359a9664f3323d18,neutral,growth,,,"Business investment is projected to pick up modestly, boosted in the near term by the oil and gas sector."
gpt-5,codebook,169b0d1ee2c9f1230acab0b766ae4dfb0d6c14193dfb11f52540cc36d56f1f64,dovish,employment,,,"The unemployment rate was little changed in recent months, though job gains continued to be low."
gpt-5,codebook,16f6dec2b36e915906b010c37302803d8640db8023a420c7a31f9a4731bc694f,hawkish,inflation,360,276,The labour market remains very tight and wage growth is adding to price pressure.
gpt-5,codebook,176b437eb6ab3b18ebbcfa4dfcf9050393265db8701adfda17b93c97b26964fa,neutral,inflation,,,Growth is picking up and inflation is projected to ease gradually from its recent spike.
gpt-5,codebook,17d7dcb4ad91d70776c1370a72587ab0af584d5462df400f4bcacf77caabf0f5,dovish,inflation,,,"CPI inflation is expected to stay elevated in June and then ease gradually in the coming months, returning to around 2% in early 2027, although this forecast is dependent on the path for oil and gasoline prices."
gpt-5,codebook,19369f671b67e1e9b5fe498104c62280151eb5614fd8fb4ceb7a3bf3831f8ca3,neutral,financial_stability,,,This differential has contributed to the depreciation of the Canadian dollar.
gpt-5,codebook,1960e3c903ad58a4a7845f54f6f08ed350acf70925598791115479cddfc3fbe7,neutral,guidance,,,"Participants agreed that, if that situation were to occur, they would consider each variable's distance from the Committee's goal and the potentially different time horizons over which those respective gaps would be anticipated to close."
gpt-5,codebook,1b83890c4b75e95ad3029526705b567575599c5ee5a2536e888a884a09886806,dovish,growth,,,"Since the April Monetary Policy Report (MPR), global economic prospects have been dented by higher oil prices stemming from the Middle East conflict."
gpt-5,codebook,1c2e61b30dc8e733c4e8aedc585009f968c52853f1450630b8cc44a0a4b07ed1,neutral,growth,,,"how much this spills over into business investment, employment, and household spending"
gpt-5,codebook,1ca389150e429ed1e2bb8b0712a6b7bfa8a34d76a33aa06029dc645a129632ae,neutral,financial_stability,,,Many participants mentioned the importance of addressing cybersecurity risks.
gpt-5,codebook,1e627ea2b03fbb0db73d99f5e263aaf5b4a2a94c5f4911fedd6b8b224869c9d4,neutral,growth,,,Developments in the Middle East are contributing to a high level of uncertainty about the economic outlook.
gpt-5,codebook,1e7a36957a00a20c840ecb6a38fb691e085f53920de56f812d10201635b42aac,neutral,financial_stability,,,"Recent weakness in the US dollar has pushed the Canadian dollar above 72 cents, roughly where it had been since the October MPR."
gpt-5,codebook,1eaeb8739e165a086eb9117ad95963092d7c541c9c1707b900c5ebb973555481,neutral,guidance,,,The Committee is attentive to the risks to both sides of its dual mandate.
gpt-5,codebook,1f2ddce77542c89793dec0316b62b8b64dd277778a0713f90913dc90a6151c4f,dovish,growth,,,Business investment also declined in the second quarter.
gpt-5,codebook,1f90afe86e486710a3e8fc5fc763c430af1b29a1002b397f2e3bb3e393939f33,dovish,growth,,,"While the global economy has been resilient to the historic rise in US tariffs, the impact is becoming more evident."
gpt-5,codebook,1ff361800e6830a59cc6a7870bf2456c6a7519c52057932fdbfbbdb02720423e,hawkish,inflation,,,"A broader range of indicators, including alternative measures of core inflation and the distribution of price changes across CPI components, continue to suggest underlying inflation is running around 2½%."
gpt-5,codebook,1ff9c26c2186b9c8606ea9407a4c0f2051426ecfb0171f78d94acba09275a78e,neutral,employment,,,"Employment was up in May, but looking through monthly volatility, employment in Canada is little changed since the start of the year."
gpt-5,codebook,200b4b17a6563cd4327c8d0fb9ce01a7064f2c43c63f9b7753c8ef6a82bc1220,hawkish,growth,,,Canada’s economy is showing signs of improvement.
gpt-5,codebook,2010f7e8917645dbbe2707ed603ed24a459dee180b76308f51334c83168682d1,neutral,guidance,,,Governing Council will be assessing incoming data carefully relative to the Bank’s forecast.
gpt-5,codebook,202875388a4305eb25e1602576db4077784e862c070ba9dffea7fa3e163e2c73,dovish,growth,,,Excess capacity in the economy is expected to persist and be taken up gradually.
gpt-5,codebook,20318cac20a9ab62d6ea15e227fb1a01cc0ee7b4ccbd7c7e2d06145f780525fa,neutral,growth,,,Exports fell while imports rose strongly as inventories were rebuilt.
gpt-5,codebook,203d006dcdf14b2c432b93fe07d5f4ca8c5042a112ec6add69760972c6a197db,neutral,guidance,,,"However, uncertainty is heightened and we are monitoring risks closely."
gpt-5,codebook,2165c38eea0debc14d5102dc58816b5e10918f33949eb5411eee9702740ce6e1,dovish,guidance,359,149,The Bank is maintaining its policy of quantitative easing to provide monetary stimulus.
gpt-5,codebook,216e4e4efe1ee9f3284ba47c14f80df8b45534d58cb9c22d7bf3e26c2bfa4f0f,hawkish,inflation,,,"Most participants remarked that core inflation had been pushed up by higher tariffs that boosted goods prices, even as some participants noted that housing services inflation had moved down closer to levels seen during previous periods when inflation was near 2 percent."
gpt-5,codebook,218038b6e13402d9f2d4b1a048d810e4437952002064b32b991c81f855c46a0c,dovish,employment,,,"Still, the unemployment rate remains elevated at 6.8% and relatively few businesses say they plan to hire more workers."
gpt-5,codebook,218829f9ccb2aa3a5d497d2d8c3fe7cbb262574fa4bacb0f22355ceff3dec04f,neutral,guidance,,,"Participants expressed their preferences for purchases to be in Treasury bills so that the SOMA portfolio composition would begin to shift toward that of Treasury securities outstanding, though no decision was made on the composition of the portfolio in the long run."
gpt-5,codebook,21d56cb0523dfa2cb0199763f04f7477f55b2db664b0461855993c0c8655e41e,neutral,growth,,,"Consumer and government spending are supporting economic activity, while tariffs and trade uncertainty are weighing on exports and business investment."
gpt-5,codebook,22437361f398e6692c7f8870312c6698d79afe750ee8a774015d01458ab4f726,neutral,inflation,,,"The increase reflects energy prices, both higher oil prices and the impact of the elimination of the consumer carbon tax falling out of the 12-month rate of inflation."
gpt-5,codebook,2264b902b136b215774e8662d51380163a418e697519017cbc349296e4721fda,neutral,inflation,363,211,"In addition, many businesses are reporting costs related to sourcing new suppliers and developing new markets."
gpt-5,codebook,2298ba61a2b1b31b600e9b9c9dc8011b0cce27c9d393cfcfd32769b6859ab211,neutral,guidance,,,"and Austan D. Goolsbee and Jeffrey R. Schmid, who preferred no change to the target range for the federal funds rate at this meeting."
gpt-5,codebook,233628db42902f6d8831cc8ea9bfb6d136e39c4a525a24fc73b7a3feda9b2fd0,dovish,growth,,,"Housing activity declined in the fourth quarter and is being held back by slow population growth, economic uncertainty and ongoing affordability issues."
gpt-5,codebook,2341813983af850be68484ed084ee6697e635f1815caca2580590a55d0161683,neutral,growth,,,"Domestic demand grew by more than 2% due to strength in consumer and government spending, even as housing markets remained weak."
gpt-5,codebook,23941019d4f9058ade47cf352567d6ba5724b48897440a88d9ad48a79f3061f3,neutral,financial_stability,,,"The manager noted, however, that the curve's forecasting record was mixed."
gpt-5,codebook,23df3fdbba5c5af91ed69a5a884b0c7c96fec1e557bdd045ea9e7e91ed562dc1,neutral,financial_stability,,,Credit quality was generally stable at levels somewhat weaker than during the pre-pandemic period.
gpt-5,codebook,2403721c3666c6c5e28ac44e1d0a6c16a08178f9db79ac61a0f105f52a0d7afc,neutral,growth,,,Uncertainty is still high.
gpt-5,codebook,242e82e74128a64e16de820d72615ae3335e7462656469b2d81bc57cb66f2228,dovish,guidance,,,Options on interest rate futures suggested that market participants were placing a higher probability on greater policy easing by early 2026 than they had just before the July FOMC meeting.
gpt-5,codebook,24c08f1fedcacd61f8ce947835cc040f591739b4a3647564e72b68cd1b4b94c1,neutral,financial_stability,,,"On the April 15 tax date, secured funding market rates rose somewhat as reserves declined sharply, and there was modest take-up of SRP operations."
gpt-5,codebook,24cc605dc23b8529fc89b9b4f9fb9ff0554824c2fb2ec9e34713ec4ef88f54bb,neutral,employment,,,Employment has shown solid gains in the past three months and the unemployment rate declined to 6.5% in November.
gpt-5,codebook,24dfe160778c7d535a13e159a3551b9efe23edfaa9ae2e5b56128205b187699d,neutral,guidance,,,Some participants commented that they welcomed the opportunity to review the Committee's communications tools and practices.
gpt-5,codebook,24f5cf8fd3ef3c89c79b53fa912c7b3cad482d57ebe1820d1f13a2a67364c787,hawkish,employment,,,"Some participants remarked, however, that slower output or employment growth was not necessarily indicative of emerging economic slack because a decline in immigration was lowering both actual and potential output growth as well as reducing both actual payroll growth and the number of new jobs needed to keep the unemployment rate stable."
gpt-5,codebook,2640361a00c9746a665a6fe4255a0a5334cfba87f66fee37c61b3644420488d3,hawkish,inflation,,,"At the same time, inflation risks have gone up due to higher energy prices."
gpt-5,codebook,267921f6f1d3dd16bf5c45f05a30c5a8a8a77643e378cecabf91936f320875b3,dovish,inflation,,,"As expected, so far there is little evidence that oil prices have fed through more broadly to goods and services prices, but this warrants close attention in the months ahead."
gpt-5,codebook,268209a53be143034387a8aa55631f9a23c6135d7f59e9894ccea9060d19043a,dovish,inflation,,,"Inflation is forecast to average around 2% in 2027 and 2028, albeit with some monthly fluctuations because of base-year effects."
gpt-5,codebook,269d00a0cdaabcdcffcdb69c3083cd146c26babd118f4c986886addd5a75201d,dovish,employment,374,148,The unemployment rate has moved up gradually since the beginning of the year to 6.9% in June and wage growth has continued to ease.
gpt-5,codebook,26ae835ba7f192016dad072fd8b0c551c59e90b4ff22880c2484cd076fc8c71e,neutral,guidance,,,All members agreed that the postmeeting statement should relay this judgment about additional rate adjustments and that it also should affirm their strong commitment both to supporting maximum employment and to returning inflation to the Committee's 2 percent objective.
gpt-5,codebook,26fed43f62a0a23a7d7ba62bd57f08754dcb23ed3c8404b38372fa69c9d36d31,dovish,inflation,,,"Looking through this choppiness, the Bank expects ongoing economic slack to roughly offset cost pressures associated with the reconfiguration of trade, keeping CPI inflation close to the 2% target."
gpt-5,codebook,275127fec00aabb328d6ad3d90b825efc13bc592b335b65052e4fa857a1faf90,dovish,growth,,,"With recent data pointing to weaker economic activity and uncertainty elevated, risks to growth look tilted to the downside."
gpt-5,codebook,275773c94da523a83b08294e931bd43b7768a10fe5250ac60216bc69531f4c8e,neutral,inflation,,,The resulting increases in energy prices and disruptions in global supply chains are weighing on global economic growth and pushing up inflation.
gpt-5,codebook,2788556ca20b31fffb4c98c7213ea4ff6b3be2c150f3023f0cfe5d1cc4abb8fd,neutral,guidance,,,"The Bank’s next MPR will be released on January 28, 2026."
gpt-5,codebook,284a8ad3a78b95528dfe67a4e59c1ff2f5344816852f359da1e3e5fd0b5ad7a8,dovish,inflation,,,"CPI inflation slowed to 2.2% in October, as gasoline prices fell and food prices rose more slowly."
gpt-5,codebook,287b390a92f12f6c78a9f8fecaa6dd72315a72bc4e2e6154507023fd168aba6b,hawkish,inflation,,,"In their consideration of monetary policy at this meeting, participants noted that inflation had remained somewhat elevated and that available indicators suggested that economic activity had been expanding at a solid pace."
gpt-5,codebook,2881d563d575fa49896f2bbc50a42fe4eb6132823051cf0e718540fc0051475b,neutral,guidance,362,83,The Committee is prepared to adjust the stance of monetary policy as appropriate if risks emerge.
gpt-5,codebook,2922ccc270a0afdfc8f7074045d3adc2006859eaca1c95bd2f8e1f4c00ec2784,neutral,inflation,,,Inflation excluding taxes was 2.9%.
gpt-5,codebook,2960251ae59fffe0d1650330d9133a20c1c8c22fa73f16d7cfdf1162e3dec3a4,hawkish,guidance,,,"and Beth M. Hammack, Neel Kashkari, and Lorie K. Logan, who supported maintaining the target range for the federal funds rate but did not support inclusion of an easing bias in the statement at this time."
gpt-5,codebook,2998620b247aa427840d112685731226c1401deca819e32fc87982688ae54a80,neutral,guidance,,,"The elected members and alternate members were as follows: John C. Williams, President of the Federal Reserve Bank of New York, with Sushmita Shukla, First Vice President of the Federal Reserve Bank of New York, as alternate"
gpt-5,codebook,29ab145ab1d07fd78d427c00d05063443eb195caa0777479f438aee8dd716236,dovish,employment,,,Canada’s labour market remains soft.
gpt-5,codebook,29ba9aaa43ba392fbeeb0a42a06d2b94880eee40b5d40fa99aed0b5df64318d2,dovish,inflation,,,"Preferred measures of core inflation have been around 3% in recent months, but on a monthly basis the upward momentum seen earlier this year has dissipated."
gpt-5,codebook,29de8e0b03b9dfdc486a4e110725517494182597ca6b112a24661234c5aff8dc,neutral,financial_stability,,,"Treasury yields ended the intermeeting period higher, on net, more so at the short end."
gpt-5,codebook,2a10bad84b3edc42a6648318fbfabf8bd335a9779a8ed1fa9bfe0c165d06faf6,neutral,guidance,,,Attended Wednesday's session only.
gpt-5,codebook,2ab9d3fef555d577485d82e467fedd5e6ccae72f35b108b872844e23757b5693,dovish,growth,,,"After remaining resilient to sharply higher US tariffs and ongoing uncertainty, global economic growth is showing signs of slowing."
gpt-5,codebook,2b1cbcc1e464fc64dfb224afede6baa548beb3dbe97e8436af89696c44a3d4e2,dovish,guidance,,,"Voting against this action were Stephen I. Miran and Christopher J. Waller, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting."
gpt-5,codebook,2b694ce91e54b63ddac905e60067528705fd20508e929c95e55b0fde61d41765,neutral,financial_stability,,,"Global bond yields have risen, equity market prices have declined, and credit spreads have widened."
gpt-5,codebook,2bc7be4c0e9b65378b3d43486d1c0d41189a6082c59f1b6ccad326a6c78676e1,dovish,growth,,,"Looking through the volatility, recent data also suggest ongoing weakness in exports."
gpt-5,codebook,2bebc7aa9afa30b4f9584d0c3e445f0f845bc369a82e712ec60fd963a0e70577,dovish,growth,,,"Recent data suggests that growth will resume in the second quarter but, even with some rebound, the economy is expected to remain in excess supply."
gpt-5,codebook,2c46d138d10fa056047b246f67dc07a4f4895faba98a678bb74352e6ad6fdb6e,dovish,inflation,,,A few participants remarked that measures of near-term inflation expectations had been elevated earlier in 2025 but had declined from those peaks.
gpt-5,codebook,2c553ec1c74967c18a3d51605b3b053893c2878ef66032bd473baee97fe5ef8f,dovish,guidance,,,"In considering the outlook for monetary policy, almost all participants noted that, with the reduction in the target range for the federal funds rate at this meeting, the Committee was well positioned to respond in a timely way to potential economic developments."
gpt-5,codebook,2d1deb9e7237d6978051441ac7a1178f7dc67f517d719038bbc8c57cafd7ac63,dovish,guidance,,,"Investors expected a 25 basis point lowering in the target range for the federal funds rate at the October meeting and another 25 basis point lowering at the December meeting, although some uncertainty around the December meeting was evident in responses to the Open Market Desk's Survey of Market Expectations (Desk survey) as well as in market prices."
gpt-5,codebook,2d4e717e71aef87bd29f736b8ec62e155d8a3fba7d4a2493ff5c5d2b5eaf353a,neutral,growth,,,"At the same time, the build-out of artificial intelligence (AI) is supporting economic activity in a growing number of countries."
gpt-5,codebook,2de48d0b22fb768a3cbc310cb1920e4202e64389ef437043a3b937ab46ca9fc1,neutral,growth,,,Consumer spending grew 1.4% but government spending unexpectedly declined.
gpt-5,codebook,2edb20079a6137ef141649500f69690bcd1d6f72e4f465d2132f4dc46e8596ff,neutral,inflation,,,The Bank is committed to maintaining Canadians’ confidence in price stability through this period of global upheaval.
gpt-5,codebook,2f10b61fb9042d0d6e5ce5b2aa522a7af54f000f5a6c2aac72b77ce882fff59d,dovish,guidance,,,"Voting against this action were Stephen I. Miran, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting"
gpt-5,codebook,2f7eee364b2f30c8b01f001e5cbaeb86ee75fd8a7fc039a0749d44959aacdee6,neutral,growth,374,210,"In the de-escalation scenario , economic growth rebounds faster, while in the escalation scenario , the economy contracts through the rest of this year."
gpt-5,codebook,303e8116d74a54800ffe1ea40f05fcf7ba337ec45ae213f5cd23f75ab0f1109a,neutral,financial_stability,355,148,Longer-term government bond yields have moved up.
gpt-5,codebook,307f2cd09f32f35c97c9dc650111d1290ea4436088c3bffef6f9f5dd4932e78a,dovish,employment,,,Several participants commented that lower-income households were especially concerned about their employment prospects.
gpt-5,codebook,30db3f75588163b699046256a644a9b6255d58f910c3d49e87c7967a811e2f8d,dovish,growth,,,"Recent indicators suggested that the conflict in the Middle East was weighing on foreign economic activity because of higher energy costs and weaker consumer and business confidence, particularly in lower-income Asian economies and in Europe."
gpt-5,codebook,30ef63d256d609fb6ab09fcafe809cad0384f5e373fe7d3e6d84e063232e4c52,neutral,employment,,,"Job gains have kept pace with the workforce, and the unemployment rate has changed little."
gpt-5,codebook,3193d181711cf0d23afd206f9e1e4d5f18e9941d45cae30f92bea244580c538d,hawkish,guidance,360,148,Some further policy firming may be appropriate to return inflation to two percent.
gpt-5,codebook,31bbc68761e003321a7d3253e01aa0f549eb381ec7c234e27b4e63f2e864faca,neutral,guidance,363,83,The Committee decided to maintain the target range for the federal funds rate at its current level.
gpt-5,codebook,33aa7851a3a2fcaa963c5df042df151c4a975fdc2b1490cc08bd38c99ebeb6fe,dovish,growth,,,"In Canada, GDP edged down by 0.1% in the first quarter, weaker than expected at the time of the April MPR."
gpt-5,codebook,33c19722e2a2683324db01baecda607eab69e8a269510abb8eb480e61b524c3c,neutral,growth,,,Members observed that more recent indicators were consistent with these developments.
gpt-5,codebook,34e623fb08537a097dc0bcd321b82dbe078693e22ac8fad25f3132e74e5bf360,dovish,guidance,,,"The Committee judges that reserve balances have declined to ample levels and will initiate purchases of shorter-term Treasury securities as needed to maintain an ample supply of reserves on an ongoing basis."" Voting for this action: Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michael S. Barr; Michelle W. Bowman; Susan M. Collins; Lisa D. Cook; Philip N. Jefferson; Alberto G. Musalem; and Christopher J. Waller."
gpt-5,codebook,3518319e00a56e3aaf7cd13ccdef39d201477f1af5218e7e6611583f121380cc,neutral,inflation,,,Total consumer price inflationâas measured by the 12-month change in the personal consumption expenditures (PCE) price indexâwas 2.8 percent in January.
gpt-5,codebook,35550f49060b25a6bf2bcc8f033562135f4afa02257684403622eb24d1d4929c,neutral,growth,,,We are closely monitoring the impact of the conflict in the Middle East and how the economy is responding to US tariffs and trade policy uncertainty.
gpt-5,codebook,357691ab2ef30dab3acc0d06b2317d0fcfa4604ba28f2ebba94aeefdee4498a8,neutral,inflation,,,The Bank is committed to ensuring that Canadians continue to have confidence in price stability through this period of global upheaval.
